month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
1,19200.0,14500.0,300.0,0.06,1.0,20166.267643228515,1.050326439751485,20166.267643228515,0.0,10083.133821614258,10083.133821614258,0.4697345437171222,19200.0,0.4697345437171222,0.4697345437171222,7.0808456548282335,6.611111111111112,1.2630678770504555,0.5900000000000001,1064.230582245511,73656.0,-62282.62617838574,687717.3738216143,nan,0.0,True
2,32209.343016148458,15006.065007340208,1996.7219911917507,0.10399593704123701,0.6333671913230249,34431.50365547952,1.068991181788991,34431.50365547952,0.0,17215.75182773976,17215.75182773976,0.49597316149322734,32209.343016148458,0.49597316149322734,0.49597316149322734,7.1070842726043395,6.6111111111111125,1.289306494826561,0.3883519552276637,1240.7821424008089,75619.68174290672,-56239.46206448178,631477.9117571325,nan,0.0,True
3,44562.900771241126,15659.554317272452,3305.9965621797805,0.10264091883284573,0.6446590097262855,48134.27574116706,1.0801423360714153,48134.27574116706,0.0,24067.13787058353,24067.13787058353,0.500569946595161,44562.900771241126,0.500569946595161,0.500569946595161,7.1116810577062735,6.6111111111111125,1.2939032799284944,0.39456245534945705,1760.289011397901,77470.9921388234,-50409.22733641247,581068.68442072,nan,0.0,True
4,56260.30924672539,16260.91541559439,4563.506940110132,0.10240596687222867,0.6466169427314278,61189.93545316828,1.0876217403076187,61189.93545316828,0.0,30594.96772658414,30594.96772658414,0.5039355283525138,56260.30924672539,0.5039355283525138,0.5039355283525138,7.1150466394636265,6.6111111111111125,1.2972688616858472,0.3956393185022853,2243.399061059765,79209.78061441057,-44834.120106446484,536234.5643142735,nan,0.0,True
5,67333.21314097429,16824.642549617944,5751.738655369038,0.10223439459149108,0.6480467117375742,73590.0478686531,1.0929234539064547,73590.0478686531,0.0,36795.02393432655,36795.02393432655,0.5063182170917851,67333.21314097429,0.5063182170917851,0.5063182170917851,7.117429328202896,6.611111111111112,1.2996515504251185,0.3964256914556658,2702.9915057272883,80841.65944112538,-39521.84358372536,496712.7207305482,nan,0.0,True
6,77808.94668354957,17351.34052167871,6875.606979103418,0.10211315721274267,0.6490570232271444,85339.4572375405,1.0967820652375317,85339.4572375405,0.0,42669.72861877025,42669.72861877025,0.508053480044633,77808.94668354957,0.508053480044633,0.508053480044633,7.1191645911557435,6.611111111111111,1.3013868133779662,0.39698136277492946,3138.622477585581,82371.46626265267,-34472.9764267479,462239.7443038003,nan,0.0,True
7,87712.76766696434,17842.277303454568,7938.4563200398015,0.10202498116734121,0.6497918236054899,96450.29437118888,1.0996152206415373,96450.29437118888,0.0,48225.14718559444,48225.14718559444,0.5093277198904003,87712.76766696434,0.5093277198904003,0.5093277198904003,7.120438831001513,6.6111111111111125,1.3026610532237337,0.39738550298301945,3550.6032245030656,83803.66620177313,-29684.22102895868,432555.5232748416,nan,0.0,True
8,97068.30091362669,18298.75292165686,8943.219674994516,0.10196029509581696,0.6503308742015254,106938.56823819217,1.1016837343567827,106938.56823819217,0.0,53469.28411909608,53469.28411909608,0.5102578006046625,97068.30091362669,0.5102578006046625,0.5102578006046625,7.121368911715776,6.611111111111113,1.3035911339379962,0.39768198081083894,3939.4263864773748,85142.43166584655,-25150.15772535475,407405.3655494868,nan,0.0,True
9,105897.83892592901,18722.070819395616,9892.532807093296,0.10191311390003487,0.6507240508330427,116822.43693901727,1.1031616709452357,116822.43693901727,0.0,58411.21846950863,58411.21846950863,0.5109218553026152,105897.83892592901,0.5109218553026152,0.5109218553026152,7.122032966413727,6.611111111111112,1.3042551886359486,0.39789822795817353,4305.698132935475,86391.69644554006,-20864.143200209,386541.2223492778,nan,0.0,True
10,114222.54311331168,19113.517257080173,10788.813069697513,0.10187944512487951,0.6510046239593374,126121.23203240856,1.1041711083887624,126121.23203240856,0.0,63060.61601620428,63060.61601620428,0.5113747502255588,114222.54311331168,0.5113747502255588,0.5113747502255588,7.122485861336672,6.611111111111113,1.3047080835588925,0.3980525431776356,4650.0915615064005,87555.19191768585,-16818.82100426701,369722.4013450108,nan,0.0,True
11,122062.58717255823,19474.3514770892,11634.307417842663,0.10185649085313338,0.6511959095572218,134854.8714768055,1.1048010254457659,134854.8714768055,0.0,67427.43573840275,67427.43573840277,0.5116565116095745,122062.58717255823,0.5116565116095745,0.5116565116095745,7.122767622720686,6.611111111111112,1.3049898449429078,0.39815775025647204,4973.318187652025,88636.47283599089,-13006.431239592232,356715.9701054186,nan,0.0,True
12,129437.26390467394,19805.800809854758,12431.124077739065,0.10184221361919318,0.6513148865067234,143043.4892637829,1.1051183017058324,143043.4892637829,0.0,71521.74463189144,71521.74463189144,0.5117972448085824,129437.26390467394,0.5117972448085824,0.5117972448085824,7.122908355919694,6.611111111111112,1.3051305781419158,0.3982231875786979,5276.109589917964,89638.93654059776,-9419.007774312238,347296.96233110636,nan,0.0,True
13,136365.06766589807,20109.058332814624,13181.25457159049,0.10183508345245948,0.6513743045628376,150707.19352621108,1.105174485708114,150707.19352621108,0.0,75353.59676310554,75353.59676310554,0.5118201660094601,136365.06766589807,0.5118201660094601,0.5118201660094601,7.122931277120571,6.611111111111112,1.3051534993427936,0.3982558675095607,5559.205192454334,90565.83778205175,-6048.508471797846,341248.4538593085,nan,0.0,True
