month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,pool_usd,paid_out_usd,payout_per_user_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
1,19200.0,14500.0,300.0,0.06,1.0,20166.267643228515,1.050326439751485,10083.133821614258,10083.133821614258,0.4697345437171222,6.611111111111112,1.2630678770504555,0.5900000000000001,1064.230582245511,73656.0,-62282.62617838574,687717.3738216143,nan,0.0,True
2,30560.135160119018,14769.451517682064,3409.316357563045,0.17756856028974194,0.5101309987927419,32600.426622327126,1.0667631687987653,16300.213311163563,16300.213311163565,0.5012445837153424,6.6111111111111125,1.294577917048676,0.3205720493360081,982.1110845451076,75322.82432882141,-56968.969934897854,630748.4038867165,nan,0.0,True
3,40355.360396882366,15165.536995529135,5370.311758765781,0.17572931960634908,0.5177945016402121,43415.73499918724,1.0758356404751945,21707.86749959362,21707.86749959362,0.5051073617329678,6.611111111111112,1.2984406950663012,0.3247869759021167,1324.077877741278,76713.63487143882,-52293.8871531747,578454.5167335417,nan,0.0,True
4,48745.50476371495,15472.740907616851,7082.596540784266,0.17550571897089112,0.5187261709546203,52708.014587224694,1.0812897485156283,26354.007293612347,26354.007293612347,0.5076192287558657,6.611111111111112,1.300952562089199,0.32529939402504116,1609.8517601399872,77857.11580746868,-48227.41059373469,530227.106139807,nan,0.0,True
5,55907.68454191222,15710.217443621104,8548.037665423833,0.17536053235798676,0.5193311151750551,60637.83466210091,1.0846064393284371,30318.917331050456,30318.91733105046,0.5091444622180921,6.6111111111111125,1.3024777955514255,0.32563211334628034,1853.8293510998228,78785.0642932942,-44709.15056102724,485517.9555787798,nan,0.0,True
6,61995.150146794724,15886.542778512108,9799.077173629603,0.17527245590511883,0.5196981003953381,67358.89640775158,1.0865188042654361,33679.44820387579,33679.44820387579,0.510022849661428,6.6111111111111125,1.3033561829947615,0.32583395521743597,2060.5050608194542,79524.9828860368,-41679.460592296404,443838.4949864834,nan,0.0,True
7,67141.75206239769,16009.501271157089,10862.899355554127,0.17522176057050426,0.5199093309562323,73012.9939335691,1.0874454671024225,36506.49696678455,36506.49696678455,0.5104466997181457,6.611111111111112,1.303780033051479,0.32595013202592776,2234.2112132396505,80100.88339295113,-39082.46068757345,404756.03429890994,nan,0.0,True
8,71464.66530655207,16085.967313156474,11763.054069002103,0.17519730581457266,0.5200112257726139,77728.44794503934,1.0876486668148293,38864.22397251967,38864.22397251967,0.5105367095182345,6.611111111111112,1.303870042851568,0.32600617417493766,2378.8889000906493,80533.77725657311,-36867.12777545315,367888.9065234568,nan,0.0,True
9,75066.62003859013,16122.00046348063,12520.045731442564,0.17519211316161715,0.5200328618265951,81620.21984876574,1.0873037817182463,40810.10992438287,40810.10992438287,0.5103736818999864,6.611111111111112,1.3037070152333197,0.32601807400462735,2498.0826675003264,80842.07704581907,-34987.49025484293,332901.4162686139,nan,0.0,True
10,78037.76995693415,16122.93572734531,13151.785809001294,0.17520151836116032,0.5199936734951653,84790.68626570315,1.0865339477601121,42395.34313285157,42395.34313285157,0.5100143905435522,6.6111111111111125,1.3033477238768856,0.32599652042234095,2594.9574488878716,81041.9327495379,-33402.451475580354,299498.96479303355,nan,0.0,True
11,80457.28321997065,16093.466797065867,13673.953534029373,0.17522224868259906,0.5199072971558373,87330.66261569285,1.0854289272598274,43665.33130784643,43665.33130784642,0.5095002433001274,6.611111111111112,1.3028335766334607,0.32594901343571053,2672.325932004118,81147.51812452512,-32075.457384296657,267423.5074087369,nan,0.0,True
12,82394.7108428507,16037.7209723176,14100.293349437547,0.1752519198403365,0.5197836673319313,89320.49128994724,1.0840561290433544,44660.24564497362,44660.24564497361,0.5088623485844231,6.6111111111111125,1.3021956819177567,0.3258810170325622,2732.6795745461714,81171.27698946957,-30974.106775856366,236449.40063288054,nan,0.0,True
13,83911.17151477034,15959.325900302443,14442.865228382816,0.17528874220979207,0.519630240792533,90831.10820376633,1.0824674064737365,45415.554101883165,45415.554101883165,0.5081246436829497,6.6111111111111125,1.301457977016283,0.32579663243589313,2778.219974921609,81124.13647484875,-30069.751647173027,206379.64898570752,nan,0.0,True
14,85060.38213493772,15861.468734943574,14712.258114776185,0.17533133966776382,0.5194527513843173,91925.04772101043,1.0807034416466972,45962.523860505215,45962.523860505215,0.5073059137193388,6.611111111111112,1.300639247052672,0.32569901326137457,2810.8889802245103,81015.69250244604,-29337.110962473,177042.53802323452,nan,0.0,True
15,85889.55705232438,15746.948443445439,14917.77352605878,0.17537863282101868,0.5192556965790888,92657.36892578105,1.0787966791973753,46328.684462890524,46328.684462890524,0.506421143454311,6.611111111111111,1.299754476787644,0.32559063311849884,2832.3967696681284,80854.37163180328,-28753.908934996565,148288.62908823794,nan,0.0,True
16,86440.19458502649,15618.221991470069,15067.584458767966,0.17542976091480728,0.5190426628549697,93076.4980481023,1.0767733517368248,46538.24902405115,46538.24902405115,0.5054824509503592,6.611111111111112,1.2988157842836925,0.32547346457023335,2844.247604585995,80647.57261725389,-28300.542517088958,119988.08657114898,nan,0.0,True
17,86748.76615475478,15477.445092940023,15168.87352321173,0.17548402795751392,0.5188165501770253,93224.98800916222,1.0746549160463474,46612.49400458111,46612.49400458111,0.5044997498484182,6.611111111111111,1.2978330831817515,0.32534910259736394,2847.7631798484,80401.79043592574,-27959.779345745104,92028.30722540387,nan,0.0,True
18,86847.32089454812,15326.508148946534,15227.953409153193,0.17554086454656204,0.5185797310559915,93140.19919882937,1.0724590953349293,46570.09959941469,46570.099599414694,0.5034812301262852,6.6111111111111125,1.2968145634596187,0.3252188520807954,2844.1036422553734,80122.72510116748,-27716.485537639164,64311.82168776471,nan,0.0,True
19,86764.01663463168,15167.067935836316,15250.372195752741,0.17559980018577742,0.5183341658925941,92854.9070973798,1.070200651133951,46427.4535486899,46427.45354868989,0.5024337142329537,6.611111111111112,1.295767047566287,0.32508379124092673,2834.2864091821175,79815.3772242803,-27557.38175774314,36754.43993002157,nan,0.0,True
20,86523.58659446464,15000.575540887352,15241.005581054393,0.17566044279894455,0.5180814883377309,92397.84293471827,1.0678919653179222,46198.921467359134,46198.921467359134,0.5013629256732574,6.6111111111111125,1.294696259006591,0.324944818585752,2819.2029526149126,79484.13200359953,-27470.825517092366,9283.6144129292,nan,0.0,True
21,86147.7498122918,14828.300987243874,15204.137769416706,0.17572246329406546,0.5178230696080606,91794.17364863993,1.065543486030119,45897.086824319966,45897.086824319966,0.5002736948237138,6.611111111111112,1.293607028157047,0.3248026882844333,2799.633724975851,79132.83308655949,-27446.617474853512,-18163.00306192431,nan,0.0,True
22,85655.57226177941,14651.354938597296,15143.532489109703,0.17578558374543848,0.5175600677273396,91065.92718947346,1.0631640742666337,45532.96359473673,45532.96359473673,0.4991701189207794,6.6111111111111125,1.2925034522541128,0.32465803725003683,2776.261402596887,78764.84755566204,-27475.82950493374,-45638.83256685805,nan,0.0,True
23,85063.78469277144,14470.70782841491,15062.495397422877,0.17584956821476927,0.5172934657717947,90232.36885577516,1.060761276748634,45116.18442788758,45116.18442788758,0.49805568803859585,6.6111111111111125,1.2913890213719292,0.3245114061744871,2749.6826155623203,78383.12312501248,-27550.652365770657,-73189.48493262871,nan,0.0,True
24,84387.06245658192,14287.206717976609,14963.928954166135,0.17591421552911155,0.5170241019620352,89310.33391338077,1.0583415432825611,44655.16695669039,44655.16695669039,0.49693338544951565,6.611111111111112,1.290266718782849,0.32436325607911937,2720.4183220014165,77990.23849429366,-27664.260940520966,-100853.74587314967,nan,0.0,True
