month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,9183.266544613383,1.020362949401487,9183.266544613383,0.0,4591.633272306692,4591.633272306692,0.4563340560829549,9000.0,0.4563340560829549,0.4563340560829549,7.067445167194067,6.611111111111112,1.2496673894162882,0.5900000000000001,484.6267675600975,53820.0,-48623.56672769331,701376.4332723067,nan,0.0,True
2,12081.07557154992,4153.691857183307,1072.616285633387,0.11917958729259856,0.5068367725616786,12430.55288811005,1.0289276657935262,12430.55288811005,0.0,6215.276444055025,6215.276444055025,0.48363134559762255,12081.07557154992,0.48363134559762255,0.48363134559762255,7.094742456708734,6.611111111111112,1.2769646789309559,0.31876022490892325,372.48960911977065,54158.59360287899,-47131.46888041581,654244.9643918909,nan,0.0,True
3,14786.789959670205,4135.835996999757,1430.1216088794715,0.11837701042507398,0.5135249131243835,15291.154297923022,1.0341091162874723,15291.154297923022,0.0,7645.577148961511,7645.577148961511,0.48573087176018204,14786.789959670205,0.48573087176018204,0.48573087176018204,7.096841982871293,6.611111111111111,1.2790642050935153,0.3224387022184109,463.1767713161953,54436.10219274064,-45796.85275848929,608448.1116334016,nan,0.0,True
4,17144.02863809235,4106.748290387594,1749.509611965448,0.11831571400805019,0.5140357165995817,17782.992135075056,1.0372703237069374,17782.992135075056,0.0,8891.496067537528,8891.496067537528,0.4871900048553677,17144.02863809235,0.4871900048553677,0.4871900048553677,7.09830111596648,6.6111111111111125,1.2805233381887011,0.32271964412976994,539.0966721047535,54657.17075485662,-44613.59596283929,563834.5156705623,nan,0.0,True
5,19186.64505081039,4070.2946825248882,2027.6782698068453,0.1182731499468884,0.5143904171092634,19936.86466053234,1.0391011355938053,19936.86466053234,0.0,9968.43233026617,9968.43233026617,0.48803202212341384,19186.64505081039,0.48803202212341384,0.48803202212341384,7.099143133234525,6.611111111111112,1.2813653554567472,0.32291472941009486,604.7351483549846,54827.70434114587,-43569.92946346525,520264.58620709705,nan,0.0,True
6,20945.1883057471,4027.3371898941928,2268.793934957484,0.11824860099038817,0.5145949917467653,21782.840490890183,1.0399925831611283,21782.840490890183,0.0,10891.420245445091,10891.420245445091,0.48844038138636026,20945.1883057471,0.48844038138636026,0.48844038138636026,7.099551492497472,6.611111111111112,1.2817737147196935,0.3230272454607209,660.9444811768462,54953.01888007448,-42654.081980483184,477610.50422661385,nan,0.0,True
7,22447.408390914476,3978.7100065446184,2476.4899213772387,0.11823669881725155,0.5146941765229038,23349.538804752097,1.0401886221396834,23349.538804752097,0.0,11674.769402376049,11674.769402376049,0.48852744603173254,22447.408390914476,0.48852744603173254,0.48852744603173254,7.099638557142844,6.611111111111112,1.2818607793650658,0.3230817970875971,708.5943111313172,55037.9319458534,-41854.6966996079,435755.80752700596,nan,0.0,True
8,23718.530761828475,3925.1728798425484,2654.0505089285475,0.11823416149914066,0.5147153208404944,24663.761768933982,1.039852005024979,24663.761768933982,0.0,12331.880884466991,12331.880884466991,0.4883682859367286,23718.530761828475,0.4883682859367286,0.4883682859367286,7.0994793970478405,6.611111111111112,1.2817016192700619,0.32309342646227196,748.5026713752486,55086.81201955326,-41161.0458678914,394594.76165911456,nan,0.0,True
9,24781.49604671388,3867.4158991720324,2804.450614286627,0.11823879996816591,0.5146766669319507,25750.375021605927,1.0390968718379907,25750.375021605927,0.0,12875.187510802964,12875.187510802964,0.48801558539652323,24781.49604671388,0.48801558539652323,0.48801558539652323,7.099126696507635,6.611111111111112,1.2813489187298566,0.3230721668125729,781.4312105642621,55103.62147635991,-40563.117431217775,354031.6442278968,nan,0.0,True
10,25657.171258676164,3806.064323202434,2930.389111240151,0.11824908010865356,0.5145909990945535,26632.3086393322,1.0380064259939135,26632.3086393322,0.0,13316.1543196661,13316.1543196661,0.48750776876910623,25657.171258676164,0.48750776876910623,0.48750776876910623,7.098618879880218,6.611111111111112,1.2808411021024395,0.32302504950200445,808.0840064220429,55091.954448874574,-40051.638220625435,313980.00600727135,nan,0.0,True
