month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,pool_usd,paid_out_usd,payout_per_user_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
1,30400.0,25700.0,300.0,0.06,1.0,32509.88128110442,1.0694039895100138,16254.94064055221,16254.94064055221,0.4782665427146753,6.611111111111111,1.2715998760480085,0.5900000000000001,1715.6377420260815,95472.0,-77174.1793594478,672825.8206405522,nan,0.0,True
2,51947.1350757067,26929.9971331551,5382.862057448401,0.17706783083711847,0.5122173715120064,56606.17053814393,1.0896880156267954,28303.085269071966,28303.085269071966,0.5119059753627218,6.6111111111111125,1.3052393086960552,0.32171955433160354,1711.036420843273,98900.48431362721,-67106.55156746776,605719.2690730845,nan,0.0,True
3,71137.39206880353,28286.883295297994,9096.626302201166,0.1751131470281071,0.5203618873828871,78316.52498617685,1.1009192593176558,39158.26249308843,39158.26249308843,0.516747145314405,6.611111111111112,1.3100804786477385,0.3261990380605879,2398.2182164226033,101909.23057238464,-57970.53533227261,547748.7337408118,nan,0.0,True
4,88151.58234642496,29451.45027830723,12437.260000685807,0.17483435418403567,0.5215235242331847,97665.84718887454,1.107930732372559,48832.92359443727,48832.92359443727,0.5199758023426307,6.6111111111111125,1.313309135675964,0.3268379383282516,2996.2338360824724,104530.7398223565,-49774.029894239466,497974.7038465724,nan,0.0,True
5,103216.6979604738,30460.680801359696,15395.565187310862,0.1746487672428632,0.5222968031547366,114829.0752616292,1.1125048323634834,57414.5376308146,57414.53763081461,0.5220808423956995,6.611111111111112,1.3154141757290327,0.3272632417351051,3527.077010307963,106805.82608288528,-42455.12634912685,455519.5774974455,nan,0.0,True
6,116531.89580528178,31329.392926350047,18014.195081542053,0.17452791493524117,0.5228003544364951,129990.71768293022,1.1154947474649977,64995.35884146511,64995.35884146511,0.5234567486344162,6.611111111111112,1.3167900819677496,0.3275401949400723,3995.951551027749,108770.29349045071,-35943.99125087066,419575.5862465749,nan,0.0,True
7,128274.60217503231,32071.577399981346,20328.871030230795,0.1744489857454923,0.5231292260604486,143331.18459010634,1.1173777361985433,71665.59229505317,71665.59229505317,0.5243225577168474,6.611111111111112,1.3176558910501808,0.32772107433324676,4408.324792529151,110456.03511455082,-30170.38955333548,389405.1966932394,nan,0.0,True
8,138603.53104245666,32699.935316401854,22371.006448977514,0.1743993438268629,0.5233360673880713,155020.93042802814,1.1184486373622224,77510.46521401407,77510.46521401407,0.5248138650909652,6.611111111111112,1.3181471984242985,0.3278348370634392,4769.410372366823,111891.57624345674,-25066.95374338959,364338.2429498498,nan,0.0,True
9,147661.03534575607,33225.96598108584,24168.461677786418,0.1743711830139681,0.5234534041084663,165218.33127819834,1.1189027009822254,82609.16563909917,82609.16563909917,0.5250205675842555,6.611111111111112,1.3183539009175889,0.3278993722596565,5084.085051791495,113102.4976114925,-20570.510397158505,343767.7325526913,nan,0.0,True
10,155575.0206735569,33660.06556662031,25746.080238819464,0.17435933710293758,0.5235027620710934,174069.1646130149,1.1188760500200368,87034.58230650745,87034.58230650745,0.5250053871805402,6.6111111111111125,1.3183387205138737,0.32792651913910137,5356.858342166161,114111.77985800407,-16622.55616223358,327145.1763904577,nan,0.0,True
