month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
1,13950.0,9250.0,300.0,0.06,1.0,200007.74038410312,14.337472428967965,14472.740384103108,185535.0,137110.87019205155,137110.87019205155,8.791356184690503,4882.5,25.118160527687152,31.900063870162683,38.5111749812738,6.611111111111111,9.584689518023836,0.5900000000000001,14471.451415619027,101511.0,-37676.68980794842,712323.3101920516,nan,0.0,,,,,,,True
2,22720.5,9607.5,837.0,0.06,1.0,326138.49847123964,14.35437153545211,23955.84847123966,302182.64999999997,223505.7792356198,223505.7792356198,8.7989139246208,7952.174999999999,25.139754070345145,31.927487669338333,38.53859878044945,6.611111111111112,9.592247257954133,0.5900000000000001,23590.055411272915,102549.69,1609.8468356198573,713933.1570276715,nan,0.0,,,,,,,True
3,31314.195,9956.925,1363.23,0.06,1.0,449827.6343338236,14.36497519204385,33348.8408338236,416478.79349999997,308209.57586691173,308209.57586691173,8.803656168177033,10959.96825,25.15330333764867,31.94469523881381,38.55580634992492,6.6111111111111125,9.596989501510366,0.5900000000000001,32530.169903663278,103561.95509999999,40160.41727091183,754093.5742985833,nan,0.0,,,,,,,True
4,39733.74405,10298.40075,1878.8517,0.06,1.0,571068.7412790379,14.372386869971743,42609.94541403788,528458.795865,391226.12981251895,391226.12981251895,8.806970872080386,13906.810417499999,25.16277392022968,31.956722878691693,38.56783398980281,6.6111111111111125,9.60030420541372,0.5900000000000001,41292.20332547155,104548.21992900001,77964.49913767888,832058.0734362622,nan,0.0,,,,,,,True
5,47981.770699500004,10632.0512925,2384.024643,0.06,1.0,689875.2132143278,14.377860657433317,51717.662910977844,638157.55030335,472569.1166678339,472569.1166678339,8.809418898673218,16793.619744825002,25.16976828192348,31.965605718042823,38.57671682915394,6.611111111111112,9.602752232006551,0.5900000000000001,49877.59907585365,105508.90326590999,115021.5682715904,947079.6417078526,nan,0.0,,,,,,,True
6,56060.863441605004,10957.998984075,2878.9062419700003,0.06,1.0,806269.1803707699,14.382032863453997,60659.69659742346,745609.4837733465,552256.4869400542,552256.4869400542,8.811284822653844,19621.30220456175,25.1750994932967,31.97237635648681,38.58348746759792,6.611111111111112,9.604618155987177,0.5900000000000001,58288.25175217027,106444.4181140889,151335.5653399027,1098415.2070477554,nan,0.0,,,,,,,True
7,63973.576151797955,11276.36451668925,3363.6518064963,0.06,1.0,920277.3026025605,14.385272138279491,69428.73978364772,850848.5628189128,630308.3638650627,630308.3638650627,8.812733514436268,22390.751653129282,25.17923861267505,31.977633038097313,38.58874414920842,6.6111111111111125,9.6060668477696,0.5900000000000001,66526.2852737722,107355.17177497763,186912.79127992102,1285327.9983276764,nan,0.0,,,,,,,True
8,71722.4285214429,11587.266938752808,3838.414569107877,0.06,1.0,1031928.7961375997,14.387811698666665,78020.49680240915,953908.2993351906,706746.0579358379,706746.0579358379,8.813869274895646,25102.849982505013,25.18248364255899,31.981754226049915,38.59286533716103,6.6111111111111125,9.60720260822898,0.5900000000000001,74593.94886979321,108241.56592083718,221760.91947756562,1507088.9178052421,nan,0.0,,,,,,,True
9,79309.90648607975,11890.823675923424,4303.3457112865735,0.06,1.0,1141254.379295867,14.389808661496488,86432.62303100628,1054821.7562648607,781591.5409009056,781591.5409009056,8.814762370973385,27758.467270127912,25.185035345638244,31.98499488896057,38.596106000071686,6.611111111111111,9.608095704306718,0.5900000000000001,82493.56156199181,109103.99666660203,255888.46744422388,1762977.385249466,nan,0.0,,,,,,,True
10,86738.46264857172,12187.150551656754,4758.594389164785,0.06,1.0,1248285.6565056278,14.391374003977493,94664.10327962413,1153621.5532260037,854867.1388980146,854867.1388980146,8.815462434694764,30358.4619270001,25.18703552769933,31.987535120178148,38.59864623128926,6.611111111111112,9.608795768028097,0.5900000000000001,90227.47977635567,109942.8546408595,289304.4876567378,2052281.8729062038,nan,0.0,,,,,,,True
