month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,9183.266544613383,1.020362949401487,9183.266544613383,0.0,2295.816636153346,2295.816636153346,0.22816702804147745,9000.0,0.22816702804147745,0.22816702804147745,6.839278139152589,6.611111111111112,1.0215003613748108,0.5900000000000001,242.31338378004875,53820.0,-46327.750091539965,703672.2499084601,nan,0.0,True
2,11386.998926513852,4121.39978530277,1734.400858788918,0.192711206532102,0.44703663944957506,11690.000166611197,1.0266094027102985,11690.000166611197,0.0,2922.500041652799,2922.500041652799,0.24277209173892103,11386.998926513852,0.24277209173892103,0.24277209173892103,6.853883202850033,6.6111111111111125,1.0361054250722546,0.2858701516972663,158.05449363418302,54033.65980677249,-44500.95335395236,659171.2965545077,nan,0.0,True
3,13275.508677784877,4071.801885845036,2183.2921345740115,0.1917355177306959,0.4511020094554338,13671.44226067979,1.0298243624786645,13671.44226067979,0.0,3417.8605651699477,3417.8605651699477,0.24342939182562526,13275.508677784877,0.24342939182562526,0.24342939182562526,6.854540502936738,6.6111111111111125,1.0367627251589586,0.28810610520048857,186.21156156096458,54164.07156200128,-43018.37568334429,616152.9208711634,nan,0.0,True
4,14740.85591006389,4010.1535671228953,2544.8063348438827,0.19169181359523646,0.4512841100198481,15200.87649354047,1.0312071826957154,15200.87649354047,0.0,3800.2191233851177,3800.2191233851177,0.2437516456185103,14740.85591006389,0.2437516456185103,0.2437516456185103,6.854862756729622,6.611111111111112,1.0370849789518437,0.28820626051091647,207.1112374817012,54224.5996638115,-41833.35677649986,574319.5640946635,nan,0.0,True
5,15855.859281769424,3940.38902094494,2825.3856492394066,0.19167039325786073,0.4513733614255803,16353.56257465973,1.0313892349853628,16353.56257465973,0.0,4088.3906436649327,4088.3906436649327,0.24379241521083855,15855.859281769424,0.24379241521083855,0.24379241521083855,6.85490352632195,6.611111111111112,1.0371257485441718,0.28825534878406917,222.85241411917286,54228.1629027185,-40897.47722798879,533422.0868666747,nan,0.0,True
6,16681.165055895537,3864.3615939713873,3039.055819845276,0.19166768358870895,0.4513846517137126,17193.859631119485,1.0307349380877175,17193.859631119485,0.0,4298.464907779871,4298.464907779871,0.24363747109912282,16681.165055895537,0.24363747109912282,0.24363747109912282,6.854748582210235,6.6111111111111125,1.0369708044324564,0.288261558442542,234.30803857442515,54185.494695101195,-40169.125680005396,493252.9611866693,nan,0.0,True
7,17267.375385672607,3783.6223850819456,3197.4120553048756,0.19167798199891506,0.45134174167118724,17776.316851141768,1.029474164666128,17776.316851141768,0.0,4444.079212785442,4444.079212785442,0.2433405448228004,17267.375385672607,0.2433405448228004,0.2433405448228004,6.854451655933912,6.611111111111112,1.0366738781561338,0.288237957919153,242.22667877605636,54105.52600490987,-39612.92074063635,453640.04044603294,nan,0.0,True
8,17656.71430317834,3699.455409941119,3310.1164924353834,0.19169772003577984,0.45125949985091734,18146.88653331041,1.027761236984156,18146.88653331041,0.0,4536.721633327603,4536.721633327603,0.2429377318600117,17656.71430317834,0.2429377318600117,0.2429377318600117,6.854048842971125,6.6111111111111125,1.036271065193345,0.2881927249180046,247.2395084132295,53995.68505699624,-39198.98895583985,414441.0514901931,nan,0.0,True
9,17884.410354668216,3612.920818689303,3385.224767199425,0.1917245025927649,0.45114790586347947,18344.122868261464,1.0257046502779026,18344.122868261464,0.0,4586.030717065366,4586.030717065366,0.24245441885208766,17884.410354668216,0.24245441885208766,0.24245441885208766,6.853565529963198,6.611111111111111,1.0357877521854209,0.2881313482249137,249.87639801202477,53862.146051791686,-38902.22152476189,375538.82996543124,nan,0.0,True
10,17979.847178717777,3524.8913737846133,3429.4545497350528,0.19175664624804872,0.4510139739664636,18400.27755870185,1.0233834234409804,18400.27755870185,0.0,4600.069389675463,4600.069389675463,0.24190910072047578,17979.847178717777,0.24190910072047578,0.24190910072047578,6.853020211831589,6.6111111111111125,1.0352424340538091,0.288057685681555,250.58072758026174,53710.03611448207,-38701.58221504585,336837.2477503854,nan,0.0,True
11,17967.522869794848,3436.0831750022508,3448.4074839251807,0.19179292513714802,0.4508628119285499,18342.266494835232,1.0208567217504625,18342.266494835232,0.0,4585.566623708808,4585.566623708808,0.24131562868774295,17967.522869794848,0.24131562868774295,0.24131562868774295,6.852426739798854,6.611111111111111,1.0346489620210761,0.2879745465607024,249.72254642286498,53543.60783020656,-38579.49042222992,298257.75732815545,nan,0.0,True
12,17867.850923305592,3347.0814727716966,3446.7534192609514,0.191832421432744,0.4506982440302333,18192.50677823551,1.018169832305152,18192.50677823551,0.0,4548.126694558878,4548.126694558878,0.24068460695167,17867.850923305592,0.24068460695167,0.24068460695167,6.851795718062782,6.611111111111112,1.0340179402850034,0.28788403421662834,247.61001801203747,53366.383268429185,-38521.28360270642,259736.47372544903,nan,0.0,True
13,17697.829490922853,3258.362324107189,3428.3837564899245,0.19187443253279987,0.4505231977800005,17969.63347670089,1.0153580407087457,17969.63347670089,0.0,4492.408369175222,4492.408369175222,0.24002429915587267,17697.829490922853,0.24002429915587267,0.24002429915587267,6.851135410266984,6.611111111111112,1.033357632489206,0.2877877587790003,244.49924903632927,53181.27430753327,-38514.75505821759,221221.71866723144,nan,0.0,True
14,17471.60092361715,3170.310744524069,3396.5393118297734,0.19191841087472591,0.450339954688642,17689.109069082806,1.012449239564054,17689.109069082806,0.0,4422.2772672707015,4422.2772672707015,0.2393412385074513,17471.60092361715,0.2393412385074513,0.2393412385074513,6.850452349618564,6.6111111111111125,1.0326745718407848,0.2876869750787531,240.60266350424354,52990.68321544323,-38549.75983156405,182671.9588356674,nan,0.0,True
15,17200.91977473516,3083.2359135145753,3353.917062396561,0.19196392345837757,0.4501503189234268,17363.739186274965,1.0094657386739838,17363.739186274965,0.0,4340.934796568741,4340.934796568741,0.23864065127740855,17200.91977473516,0.23864065127740855,0.23864065127740855,6.849751762388521,6.6111111111111125,1.031973984610742,0.28758267540788474,236.09609895548692,52796.586757168705,-38617.88055860028,144054.07827706714,nan,0.0,True
16,16895.54434516676,2997.383905808154,3302.759335376557,0.1920106237706936,0.4499557342887766,17004.107593865196,1.0064255549558243,17004.107593865196,0.0,4251.026898466299,4251.026898466299,0.2379267586370184,16895.54434516676,0.2379267586370184,0.2379267586370184,6.8490378697481304,6.611111111111112,1.0312600919703518,0.2874756538588272,231.12479701276607,52600.606543914895,-38712.14526852079,105341.93300854634,nan,0.0,True
17,16563.564319834197,2912.948346724086,3244.92837205665,0.19205823178966788,0.44975736754305046,16618.942161193874,1.0033433529336053,16618.942161193874,0.0,4154.735540298469,4154.735540298469,0.23720299676543774,16563.564319834197,0.23720299676543774,0.23720299676543774,6.84831410787655,6.611111111111112,1.030536330098771,0.2873665521486778,225.8084465167176,52404.06788250149,-38826.78973931323,66515.14326923311,nan,0.0,True
18,16211.674956084606,2830.079326788309,3181.9686905379,0.19210651941186482,0.4495561691172299,16215.42219288458,1.0002311443333354,16215.42219288458,0.0,4053.855548221145,4053.855548221145,0.2364721806010092,16211.674956084606,0.2364721806010092,0.2364721806010092,6.84758329171212,6.611111111111112,1.0298055139343425,0.28725589301447646,220.24542016104851,52208.049007878624,-38957.0578061663,27558.08546306681,nan,0.0,True
19,15845.406554859115,2748.8908572577093,3115.159258483198,0.19215529961720634,0.44935291826164014,15799.436142116021,0.9970988177183124,15799.436142116021,0.0,3949.8590355290053,3949.8590355290053,0.23573662782500257,15845.406554859115,0.23573662782500257,0.23573662782500257,6.8468477389361135,6.611111111111111,1.0290699611583358,0.2871441050439021,214.51632777032592,52013.422270184536,-39099.033843110985,-11540.948380044174,nan,0.0,True
20,15469.316508745822,2669.467103002487,3045.5571491157784,0.19220441826920717,0.44914825721163676,15375.797463083229,0.9939545457221901,15375.797463083229,0.0,3843.949365770807,3843.949365770807,0.23499825420147502,15469.316508745822,0.23499825420147502,0.23499825420147502,6.846109365312587,6.611111111111112,1.0283315875348085,0.28703154146640025,208.6869925254823,51820.88858917484,-39249.5024224747,-50790.45080251888,nan,0.0,True
21,15087.150024982931,2591.867591137762,2974.0340749006523,0.1922537478122731,0.448942717448862,14948.425226800005,0.9908051024909801,14948.425226800005,0.0,3737.1063067000014,3737.1063067000014,0.23425864790226178,15087.150024982931,0.23425864790226178,0.23425864790226178,6.845369759013375,6.6111111111111125,1.0275919812355951,0.28691849459687413,202.81094114892494,51631.00627356951,-39405.830871790655,-90196.28167430953,nan,0.0,True
22,14701.974624229519,2516.131561792916,2901.3069625463295,0.19230318235995747,0.4487367401668438,14520.49512775775,0.9876561141540345,14520.49512775775,0.0,3630.1237819394373,3630.1237819394373,0.23351912815635437,14701.974624229519,0.23351912815635437,0.23351912815635437,6.844630239267467,6.6111111111111125,1.026852461489688,0.2868052070917641,196.93148551251443,51444.21512336171,-39565.87108279517,-129762.1527571047,nan,0.0,True
23,14316.292683425776,2442.281600524306,2827.9635413280503,0.19235263382018347,0.4485306924159021,14094.56564437231,0.9845122585884148,14094.56564437231,0.0,3523.6414110930773,3523.6414110930773,0.23278079202955218,14316.292683425776,0.23278079202955218,0.23278079202955218,6.843891903140665,6.6111111111111125,1.0261141253628856,0.2866918808287462,191.08346131834242,51260.85658328703,-39727.877481681586,-169490.0302387863,nan,0.0,True
24,13932.135595474489,2370.326669309634,2754.4837572609226,0.19240202880525326,0.4483248799781115,13672.683373052605,0.9813774262643439,13672.683373052605,0.0,3418.1708432631513,3418.1708432631513,0.23204455209300792,13932.135595474489,0.23204455209300792,0.23204455209300792,6.84315566320412,6.6111111111111125,1.0253778854263413,0.2865786839879613,185.29467931222143,51081.19059044769,-39890.43854864235,-209380.46878742866,nan,0.0,True
