month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,9183.266544613383,1.020362949401487,9183.266544613383,0.0,4591.633272306692,4591.633272306692,0.4563340560829549,9000.0,0.4563340560829549,0.4563340560829549,0.4563340560829549,0.0,0.4563340560829549,0.5900000000000001,484.6267675600975,53820.0,-49228.36672769331,700771.6332723066,nan,0.0,,,,,,,True
2,11091.958780434285,4062.3917560868567,1970.4329756525733,0.21893699729473037,0.3377625112719568,11375.739191043524,1.0255843369261175,11375.739191043524,0.0,5687.869595521762,5687.869595521762,0.4906379626202977,11091.958780434285,0.4906379626202977,0.4906379626202977,0.4906379626202977,0.0,0.4906379626202977,0.22576938119957626,245.73353802116253,53980.55258047817,-48292.68298495641,652478.9502873502,nan,0.0,,,,,,,True
3,12693.384741820422,3996.6827191032844,2395.256757717147,0.21594533527678378,0.3502277696800675,13049.474449748715,1.0280531721972546,13049.474449748715,0.0,6524.737224874358,6524.737224874358,0.4911746582725297,12693.384741820422,0.4911746582725297,0.4911746582725297,0.4911746582725297,0.0,0.4911746582725297,0.23262527332403715,290.06831198896907,54059.28925352768,-47534.55202865332,604944.3982586969,nan,0.0,,,,,,,True
4,13870.463302600621,3917.5723966652654,2740.4938358850654,0.21589937527506453,0.35041926968723114,14269.717278408143,1.0287844729550357,14269.717278408143,0.0,7134.858639204072,7134.858639204072,0.4915141595880002,13870.463302600621,0.4915141595880002,0.4915141595880002,0.4915141595880002,0.0,0.4915141595880002,0.23273059832797716,317.3295259301294,54067.92899446811,-46933.07035526403,558011.3279034329,nan,0.0,,,,,,,True
5,14709.142687371643,3832.9006671102416,2994.2212823392197,0.21587031500078463,0.35054035416339735,15126.663893391971,1.02838514894405,15126.663893391971,0.0,7563.331946695986,7563.331946695986,0.4913171247912974,14709.142687371643,0.4913171247912974,0.4913171247912974,0.4913171247912974,0.0,0.4913171247912974,0.23279719478986857,336.47825339161227,54021.75391572689,-46458.421969030904,511552.90593440196,nan,0.0,,,,,,,True
6,15277.870334855848,3744.2429729791397,3175.515325494932,0.21588717935418714,0.35047008602422025,15693.519073833515,1.0272059344573294,15693.519073833515,0.0,7846.7595369167575,7846.7595369167575,0.4907573726026077,15277.870334855848,0.4907573726026077,0.4907573726026077,0.4907573726026077,0.0,0.4907573726026077,0.23275854731332116,349.0320324195791,53932.90164531405,-46086.1421083973,465466.7638260047,nan,0.0,,,,,,,True
7,15631.812914916145,3652.9711518762097,3299.0285718159125,0.21593510741410804,0.3502703857745498,16029.934455121222,1.0254686735551435,16029.934455121222,0.0,8014.967227560611,8014.967227560611,0.4899376634862525,15631.812914916145,0.4899376634862525,0.4899376634862525,0.4899376634862525,0.0,0.4899376634862525,0.2326487121760024,356.3533319723683,53811.124760173705,-45796.15753261309,419670.6062933916,nan,0.0,,,,,,,True
8,15815.436368805535,3560.1785689724616,3376.5551150830734,0.21600534329969534,0.34997773625126943,16184.288476867772,1.0233222845997323,16184.288476867772,0.0,8092.144238433886,8092.144238433886,0.48892722378278114,15815.436368805535,0.48892722378278114,0.48892722378278114,0.48892722378278114,0.0,0.48892722378278114,0.2324877549381982,359.5468417205666,53664.25502880913,-45572.11079037524,374098.4955030164,nan,0.0,,,,,,,True
9,15864.580887443331,3466.733836056518,3417.5893174187213,0.21609200263102418,0.3496166557040658,16195.693931210217,1.020871212805184,16195.693931210217,0.0,8097.846965605108,8097.846965605108,0.4877746534371837,15864.580887443331,0.4877746534371837,0.4877746534371837,0.4877746534371837,0.0,0.4877746534371837,0.2322891606372362,359.50652130626986,53498.57674769121,-45400.7297820861,328697.7657209303,nan,0.0,,,,,,,True
10,15808.12495270317,3373.323053993176,3429.7789887333365,0.21619096105135527,0.34920432895268627,16095.693421014188,1.0181911813811824,16095.693421014188,0.0,8047.846710507094,8047.846710507094,0.48651521486703425,15808.12495270317,0.48651521486703425,0.48651521486703425,0.48651521486703425,0.0,0.48651521486703425,0.23206238092397746,356.95340249778565,53319.126113799444,-45271.27940329235,283426.48631763796,nan,0.0,,,,,,,True
