month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,pool_usd,paid_out_usd,payout_per_user_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,3075.8020509643798,0.3417557834404866,1537.9010254821899,1537.9010254821899,0.15284247917731963,6.611111111111112,0.946175812510653,0.5900000000000001,162.31871288631328,53820.0,-51677.29897451781,698322.7010254822,nan,0.0,True
2,11328.724256860916,4109.744851372183,1781.0205945112668,0.19789117716791854,0.4254534284670061,3890.2724753785933,0.3433989906694535,1945.1362376892966,1945.1362376892966,0.16277921438678963,6.611111111111112,0.956112547720123,0.2739993856568534,101.05540315290955,54023.17036623496,-51316.74385848461,647005.9571669975,nan,0.0,True
3,13149.548649620581,4054.768333963588,2233.9439412039223,0.19719289573589882,0.4283629344337549,4524.272277458513,0.34406293310980346,2262.1361387292563,2262.1361387292563,0.16304446806423722,6.611111111111112,0.9563778013975706,0.2755996139385652,118.17497386705963,54141.3987569317,-50995.61294894794,596010.3442180495,nan,0.0,True
4,14545.515146544709,3988.7198183620603,2592.7533214379328,0.19717432061919057,0.42844033075337257,5005.683536458271,0.34413930933531584,2502.8417682291356,2502.8417682291356,0.1630793453520568,6.611111111111112,0.9564126786853901,0.2756421819143549,130.76868032219818,54189.43832637805,-50709.13794030111,545301.2062777485,nan,0.0,True
5,15592.641841206167,3915.0932397249735,2867.9665450635166,0.19717187849100024,0.428450506287499,5361.259723529391,0.34383267300871134,2680.6298617646953,2680.6298617646953,0.16293386492397757,6.6111111111111125,0.956267198257311,0.27564777845812444,140.060462201649,54180.78376341711,-50452.32836992336,494848.8779078251,nan,0.0,True
6,16353.789426038777,3835.7369096788916,3074.5893248462817,0.19718206549971312,0.4284080604178619,5613.622838406446,0.34326128899937663,2806.811419203223,2806.811419203223,0.16266381986806178,6.611111111111112,0.9559971532013951,0.27562443322982405,146.64156184583817,54126.56708172698,-50220.78101309395,444628.09689473116,nan,0.0,True
7,16880.982574829057,3752.1764110931817,3224.9832623029033,0.19720097760143782,0.42832925999400906,5781.733022519929,0.342499792111685,2890.8665112599647,2890.8665112599647,0.16230429694576723,6.611111111111112,0.9556376302791005,0.27558109299670497,151.01050269858706,54035.97529895803,-50010.706758669556,394617.3901360616,nan,0.0,True
8,17217.2734021772,3665.6622232589875,3329.3713959108422,0.1972261615194847,0.4282243270021471,5881.390846008171,0.3415982721900927,2940.6954230040856,2940.6954230040856,0.16187885428333035,6.611111111111112,0.9552121876166637,0.2755233798511809,153.5829307767831,53916.58569481603,-49818.889499185636,344798.500636876,nan,0.0,True
9,17398.279867126214,3577.2164473210614,3396.2099823720487,0.19725597096823605,0.4281001209656832,5925.713357448311,0.34059190924068633,2962.8566787241557,2962.8566787241557,0.16140404237422612,6.611111111111111,0.9547373757075593,0.2754550665311258,154.70397781187103,53774.64256403413,-49642.621478239096,295155.8791586369,nan,0.0,True
10,17453.458113659217,3487.6718290287818,3432.4935824957784,0.19728924978275714,0.4279614592385119,5925.5586811299345,0.33950628251100246,2962.7793405649672,2962.7793405649672,0.16089189763249137,6.6111111111111125,0.9542252309658248,0.2753788025811816,154.6593444091327,53615.28608277153,-49479.63435696866,245676.24480166825,nan,0.0,True
11,17407.156020388946,3397.704274229269,3444.0063674995404,0.19732515728812694,0.42781184463280447,5889.894005302615,0.33836049946377234,2944.9470026513077,2944.9470026513077,0.16035141272658923,6.6111111111111125,0.9536847460599227,0.2752965145480425,153.68494322978722,53442.741797313494,-49328.033910092054,196348.2108915762,nan,0.0,True
12,17279.486244083295,3307.859895844063,3435.5296721497148,0.1973630654040034,0.4276538941499859,5826.109538598768,0.33716914127546466,2913.054769299384,2913.054769299384,0.1597894511172144,6.611111111111112,0.9531227844505478,0.27520964178249224,151.97514676985793,53260.47762616917,-49186.24138126739,147161.96951030882,nan,0.0,True
13,17087.050041968385,3218.5774894074166,3411.013691522325,0.19740249468876991,0.4274896054634587,5740.283848931121,0.33594352652050025,2870.1419244655604,2870.1419244655604,0.1592113412500572,6.6111111111111125,0.9525446745833906,0.2751192830049023,149.68976927692756,53071.33400672146,-49052.94231943562,98109.0271908732,nan,0.0,True
14,16843.5375737796,3130.2071974101846,3373.71966559897,0.19744307281318912,0.42732052994504527,5637.406750759889,0.33469256241845907,2818.7033753799446,2818.7033753799446,0.1586212769023015,6.611111111111112,0.9519546102356349,0.2750262914697749,146.95993787513135,52877.631812472464,-48927.04271213453,49181.98447873867,nan,0.0,True
15,16560.22586774567,3043.0260010939337,3326.3377071278614,0.1974845065983042,0.4271478891737326,5521.565756946728,0.33342333619380604,2760.782878473364,2760.782878473364,0.15802259534914423,6.611111111111112,0.9513559286824775,0.27493133904555295,143.893007284159,52681.26185391059,-48807.63179712472,374.35268161394924,nan,0.0,True
16,16246.39195000055,2957.250573753441,3271.084491498562,0.19752656259777523,0.42697265584260313,5396.101591009676,0.33214153687886944,2698.050795504838,2698.050795504838,0.15741797580049155,6.611111111111112,0.9507513091338249,0.2748349607134317,140.57666067435048,52483.75911278498,-48693.950778240105,-48319.598096626156,nan,0.0,True
17,15909.655614681871,2873.04794101689,3209.784276335571,0.19756905325280313,0.42679561144665357,5263.737610771884,0.33085176312140663,2631.868805385942,2631.868805385942,0.15680958422509747,6.6111111111111125,0.9501429175584309,0.2747375862956595,137.0823232831899,52286.36431557407,-48585.36665288151,-96904.96474950766,nan,0.0,True
18,15556.263824154212,2790.544319123556,3143.9361096512152,0.1976118267921465,0.42661738836605617,5126.687340278186,0.3295577523131215,2563.343670139093,2563.343670139093,0.15619918116647175,6.6111111111111125,0.9495325144998052,0.2746395636013309,133.46799879659875,52090.075004131155,-48481.350405008896,-145386.31515451655,nan,0.0,True
19,15191.326675836275,2709.8324399233957,3074.769588241334,0.19765475971596336,0.4264385011834859,4986.743695406023,0.32826255414137523,2493.3718477030116,2493.3718477030116,0.15558820341414112,6.6111111111111125,0.9489215367474746,0.2745411756509173,129.780622732329,51895.68789196042,-48381.45889164121,-193767.77404615775,nan,0.0,True
20,14819.013175065762,2630.977619329672,3003.291120100186,0.19769775110407573,0.42625937039968437,4845.352940613421,0.3269686640650361,2422.6764703067106,2422.6764703067106,0.15497782682045083,6.611111111111112,0.9483111601537841,0.2744426537198264,126.05801281138974,51703.833989112434,-48285.3198334413,-242053.09387959907,nan,0.0,True
21,14442.713648858762,2554.0227826281366,2930.3223088351347,0.19774071823929873,0.4260803406695886,4703.675935063722,0.3256781273535392,2351.837967531861,2351.837967531861,0.15436901526711036,6.611111111111113,0.9477023486004439,0.27434418736827376,122.3304837726796,51515.00772586715,-48192.61940113198,-290245.71328073106,nan,0.0,True
22,14065.174471857128,2478.9926239758215,2856.5318009774564,0.19778359319636407,0.42590169501514974,4562.638813742468,0.3243926211418001,2281.319406871234,2281.319406871234,0.15376255928726731,6.611111111111111,0.9470958926206006,0.2742459322583324,118.62218325654385,51329.59109593468,-48103.091964554646,-338348.8052452857,nan,0.0,True
23,13688.60981121107,2405.8970474135003,2782.461708059557,0.19782632015173063,0.42572366603445577,4422.974897530492,0.32311351981908665,2211.487448765246,2211.487448765246,0.15315910684499578,6.611111111111113,0.9464924401783293,0.2741480163189507,114.95219613051222,51147.87366628838,-48016.511638209755,-386365.3168834954,nan,0.0,True
24,13314.79429718178,2334.734011761151,2708.5495257904427,0.19786885323972936,0.425546444834461,4285.259328651302,0.3218419476114868,2142.629664325651,2142.629664325651,0.15255918808808966,6.6111111111111125,0.9458925214214231,0.27405054465895357,111.33545678767223,50970.069156754995,-47932.68531565873,-434298.0021991542,nan,0.0,True
